商品名称,券后价,店铺名称,好评数
雷达欧护驱蚊喷雾 100ml 山野清新 花露水 驱蚊液  户外 防蚊虫,28.9,雷达京东自营旗舰店,470000
e洁 自动收口垃圾袋家用加厚抽绳手提式酒店厨房清洁袋 45cm*50cm 蓝色一卷装共100只,9.9,e洁家清旗舰店,20000
黑旋风蟑螂药杀蟑饵剂全窝端家用非无毒一窝端屋贴胶饵驱灭诱饵神器11个,29.9,黑旋风京东自营官方旗舰店,110000
雀巢（Nestle）金牌原装进口冻干速溶黑咖啡0糖0脂低卡*燃减健身防困浓郁瓶装80g,29.84,雀巢咖啡京东自营官方旗舰店,63000
沫檬地板清洁剂 养护瓷砖清洗剂强力杀菌木地板大理石拖地液4瓶混合装,79.9,沫檬京东自营旗舰店,11000
小植家 懒人抹布【180片装】厨房用纸巾一次性抹布洗碗布吸油纸家用抹布,18.9,小植家京东自营旗舰店,37000
康夫（CONFU）电吹风机家用大功率2200W冷热风专业发廊级理发店恒温吹风筒机KF-8953 黑金,69.9,康夫个人护理旗舰店,120000
粮源阁牛肉馅饼 儿童酥皮馅饼 0起酥油儿童早餐食品速食早餐500g*2袋,24.9,粮源阁京东自营旗舰店,1200
云南白药牙膏国粹套装5支共500g家庭装留兰薄荷益生菌减轻牙龈问题 cy 国粹套装500g,169.0,云南白药旗舰店,2800
宁之春 红黑枸杞原浆礼盒装2700ml 精选中宁青海头茬枸杞子鲜果鲜榨不添加送长辈高端礼物 早红晚黑枸杞原浆礼盒装90袋【2700ml】,128.0,宁之春滋补旗舰店,30
盼盼芋泥肉松三明治 营养早餐夹心面包休闲零食下午茶点心980g/箱,24.9,盼盼京东自营旗舰店,2100
小鹿蓝蓝婴幼儿香香米饼 3口味混合 宝宝零食儿童零食 超值装120g(60片),19.9,小鹿蓝蓝京东自营旗舰店,23000
Sodolike点断式垃圾袋中号加厚45*50cm*5卷平口家用办公垃圾袋 黑色200只,9.0,尚岛宜家官方旗舰店,50000
英氏儿童沐浴露洗发水二合一婴儿宝宝洗发沐浴露小奶泡樱花味350ml,56.0,英氏（YEEHOO）洗护京东自营旗舰店,34000
青岛啤酒10度鲜啤 1L 8桶 昆山产 预售 每周一/四生产,128.0,青岛啤酒官方旗舰店,80
佳帮手拖把家用一拖净免手洗2024懒人平板拖地擦地拖布墩布吸水除尘拖把,29.9,佳帮手京东自营官方旗舰店,92000
老棉农悬挂式一次性加厚洗脸巾干湿两用抽取式珍珠纹擦脸洁面巾大尺寸 家庭装1包160抽,26.9,老棉农官方旗舰店,600
伊风（ESWIND）蓬蓬粉头发蓬松免洗控油蓬松粉干发粉懒人油头刘海去油男女10g,59.9,伊风（ESWIND）京东自营旗舰店,2700
李锦记  LEEKUMKEE薄盐生抽 减盐 原粒黄豆 未加碘盐 酿造酱油 1.75L*2,47.8,李锦记  LEEKUMKEE官方旗舰店,20
高爷家2.0全价猫粮添加益生菌200g 幼猫成猫猫粮 高肉含量（不含冻干）,9.9,许翠花京东自营旗舰店,59000
纯手工制作春饼0添加不含油烫面春饼烧烤小饼卷饼早餐速食 手工春饼24片1kg,21.9,味九霄旗舰店,300
小鹿蓝蓝 婴幼儿泡芙条  宝宝零食儿童零食 混合口味20小包 超值装120g,17.9,小鹿蓝蓝京东自营旗舰店,3800
乐扣乐扣（LOCK&LOCK）婴儿耐热玻璃辅食盒宝宝辅食碗可冷冻储存保鲜盒套装230ML*3暖灰,89.0,乐扣乐扣母婴京东自营旗舰店,16000
植物妈妈婴儿紫草膏宝宝舒缓膏蚊虫叮咬止痒消肿清凉舒缓 6g *2支装,29.0,植物妈妈京东自营旗舰店,34000
君臣乐倒蒸红薯干农家自制无糖精无油番薯干糯香薯地瓜干 500g装,14.9,融兆休闲食品专营店,10
柏瑞美（PRAMY）定妆喷雾经典款持久定妆控油不易脱妆快速成膜D 柔焦雾面(黑瓶)100ml,39.9,柏瑞美旗舰店,400
润本（RUNBEN）电热蚊香液无味儿定时驱蚊器驱蚊液防蚊水电蚊液补充装无香型 4瓶 +1器【一房用一夏】非定时款,29.9,润本官方旗舰店,72000
盼盼嫩蛋糕 早餐面包休闲零食代餐下午茶糕点点心 600g/箱,16.9,盼盼京东自营旗舰店,2300
许翠花豆腐砂不粘底强吸水不可冲厕所豆腐混合猫砂2.5kg【源头直发】,19.9,许翠花京东自营旗舰店,30
AKCE【2024新款】无线蓝牙耳机小椰球开放式不入耳超长续航大电量超强音挂耳式降噪运动适用于苹果安卓 梦幻黑色 【舒适不入耳 3D全息立体声】,22.9,AKCE数码旗舰店,40
超威电蚊拍驱蚊器灭蚊器防蚊子灭蚊拍苍蝇拍电蝇拍充电式锂电池大网面,39.9,超威京东自营官方旗舰店,100000
Sodolike抽绳垃圾袋 厨房客厅专用一次性垃圾袋 清洁自收口垃圾袋 黑色100只*45*50cm,7.9,尚岛宜家官方旗舰店,1700
英氏儿童沐浴露洗发二合一婴儿沐浴露洗发水慕斯小奶泡桃子味350ml,56.0,英氏（YEEHOO）洗护京东自营旗舰店,34000
太力花洒支架免打孔淋浴头支架吸盘花洒底座花洒固定器多档调节1个,13.2,太力京东自营旗舰店,28000
六味地黄丸（浓缩丸）216丸/瓶 恒医森  补肾阴亏损男女 遗精盗汗头晕耳鸣腰膝酸软 6盒装（疗程装）,55.0,仁和官方旗舰店,500
小冻宠物除臭深层矿砂清新洁净猫砂快速结团低尘猫咪实惠袋装无尘抑菌 原味 10kg 1袋 除臭矿砂,22.9,小冻宠物生活旗舰店,10
子初婴儿洗衣液儿童洗衣液植萃呵护高效去污山茶洁净洗衣液2kg*3包,39.9,子初京东自营旗舰店,150000
【第二代米诺地尔】Xcare for men/拾健社英国米诺地尔酊5%男士防脱发生发增发泡沫滴剂60ml*1,119.0,京东健康国际自营药房,200
冈本 避孕套 安全套SKIN尽享超润滑超薄15片装 男女用 成人情趣 套套 计生用品 okamoto,39.9,冈本京东自营旗舰店,1670000
海昊宜生双头棉签医用掏耳朵化妆画眼线棉棒一次性尖头圆头婴儿脱脂清洁卫生棉花棒 纸轴-儿童双头棉签【600支/3罐】螺旋+挖耳勺,9.9,海昊宜生医疗器械旗舰店,300
盼盼黄油厚切吐司面包 营养饱腹感早餐休闲零食下午茶点心1040g/箱,26.9,盼盼京东自营旗舰店,1800
颐莲（RELLET） 玻尿酸补水喷雾300ml 保湿补水爽肤水化妆水A,69.0,颐莲旗舰店,1100
姬芮（ZA）紫色焕真润色隔离霜防晒遮瑕霜妆前乳35g SPF36七夕礼物,69.0,Za姬芮京东自营旗舰店,160000
佳帮手拖把家用一拖净免手洗2024平板拖布墩布吸水干湿两用懒人拖地神器,35.9,佳帮手京东自营官方旗舰店,6000
唐人神香肠腊肉腊味湖南特产腊味湘味 500g 广式风味甜肠,29.9,唐人神旗舰店,400
星鲨维生素D3软胶囊d3滴剂儿童成人补钙营养 30粒360iu*3盒,54.0,星鲨旗舰店,2300
达聚科柔性插座转换器无线插排小夜灯多孔彩色创意家用USB充电多功能一转多电源接线板安全门适用于卧室 柔性品彩形一转六【插位款】,16.8,达聚科插座旗舰店,400
太极六味地黄丸(浓缩丸)360丸 滋阴补肾 肾阴亏损 头晕耳鸣 腰膝酸软 骨蒸潮热 盗汗遗精 4盒装,57.0,嘀哩哒啦大药房旗舰店,300
北乡 深井水灌溉 真空包装清&水大米 2.5kg*1袋,13.9,北乡旗舰店,3100
英氏太空凝露儿童面霜四季新生儿童面霜晒后舒护补水凝露保湿霜润肤乳 【到手1瓶】太空凝露25g,29.9,英氏洗护旗舰店,1200
【B站专享】MoveFree益节氨糖软骨素MSM护关节绿瓶120粒美国进口,199.0,MoveFree益节维骨力海外京东自营旗舰店,1400
盼盼五黑沙琪玛 休闲零食面包糕点下午茶点心养生健康代餐 540g/盒,13.9,盼盼京东自营旗舰店,2300
仁和 植物复合净颜洁面乳控油清洁男女洗面奶温和 控油净痘1瓶装,9.9,仁和旗舰店,4300
欧莱雅染发剂一洗黑色 植萃男女盖白染发膏 轻松染自己染 3.0自然黑200g,109.0,欧莱雅美发京东自营官方旗舰店,15000
小鹿蓝蓝 牛肉酥夹心饼干 高钙含铁 零食饼干薄脆儿童爱吃 100g,22.3,小鹿蓝蓝京东自营旗舰店,4200
蜜丝婷泰国版小黄帽防晒霜男女SPF50+面部水润军训户外隔离乳 40ml*2支,48.0,京优美妆甄选经营部,10
宁安堡枸杞原浆 宁夏中宁头茬枸杞子NFC鲜果鲜榨0添加24年新货 600ml 30ml*20袋,29.9,小文集市官方旗舰店,500
海狸先生 拌饭海苔碎 儿童宝宝海苔碎 休闲零食寿司食材 1袋* 100g,12.99,海狸先生休闲零食官方旗舰店,900
西麦有机纯燕麦片880g桶即食高蛋白营养早餐冲饮谷物代餐,38.4,西麦京东自营旗舰店,800000
