商品名称,券后价,店铺名称,好评数
CINQUS笔记本电脑不伤屏AB瓶清洁液套装 苹果macbook联想拯救者华为液晶屏幕清理相机手机鼠标键盘清洁剂 清洁除尘套装CQ27【7合1】,59.0,宜客莱旗舰店,20
岑迷拆机台式机独立游戏显卡GTX750ti 760 950 960 970 1050吃鸡LOL4K GTX650 1G 1GB,188.95,壹旺数码专营店,0
岑迷全新H61主板电脑主板CPU套装1155针超H67/B75M游戏台式机i3 i5 i7 H61主板 A款USB键鼠口,322.7,壹旺数码专营店,0
岑迷Seagate希捷移动硬盘新睿翼1tb2.5英寸2tb磁3.0兼容MAC500G手机外接 1TB 新睿翼囎包 官方标配,360.0,壹旺数码专营店,2
岑迷电脑外置蓝光光驱BD/DVD/CD刻录机笔记本台式通用外接USB移动光驱 USB20蓝光BD/DVD/VCD/CD全格,358.78,壹旺数码专营店,0
优派27英寸 2K电竞显示器 原生240HZ高刷新率 FastIPS 1ms低蓝光电脑屏幕HDR 广色域外接显示屏 VX2758,1399.0,优派京东自营官方旗舰店,22000
双飞燕无线数字小键盘鼠标套装财务会计收银便携充电静音笔记本电脑数字密码键盘伴侣免切换双飞燕 无线数字小键盘静音套装FG1600C,119.0,宽迈数码专营店,10
双飞燕无线蓝牙多模鼠标充电便携桌面空中两用遥控时尚办公家用握感舒服游戏USB无线轻音鼠标FB45CS 【静音版】G10-810S Air无线电池款-黑色,84.0,宽迈数码专营店,40
海雀400万华丨为摄像头家用360度旋转带夜视全景手机远程通话AI智能无线监控器室内宝宝婴儿老人看护器 2.5K 【全景全彩】双向通话,171.0,海雀官方旗舰店,100
岑迷移动硬盘高速USB30数据存储大容量1TB外接置机械500g便携250G 80g黑灰-usb3.0高速 0TB 官方标配,61.92,壹旺数码专营店,1
雷克沙（Lexar） P30 USB3.2 U盘 高速固态U盘 读速450MB/s 128G U盘 固态般传输体验,179.0,雷克沙Lexar旗舰店,20
绿联 M.2 NVMe固态硬盘盒NGFF转USB3.0接口SSD移动硬盘盒笔记本台式电脑M2外置盒 尊享款【NVME/NGFF双协议款】配双线,144.0,绿联三顺专卖店,1000
TP-LINK TL-WVR1200G 企业级AC1200M全千兆双频上网行为管理穿墙商用无线路由器,539.0,府城网络专营店,500
TP-LINK TL-NT521 万兆PCI-E网卡台式机电脑服务器内置RJ45口10G高速有线网卡,459.0,府城网络专营店,100
诺可信（Nokoxin）2.5G交换机10G光口支持猫棒千兆宽带 一键VLAN模式非管理型 4个2.5G电口+2个10G光口/支持猫棒,166.0,诺可信旗舰店,100
优迩浦锐特 珠宝标签打印机 珠宝首饰玉器食品眼镜店价签标签打印机 手机蓝牙打印机 打印机+标签5卷 便携珠宝标签打印机,266.41,优迩官方旗舰店,4
岑迷二手CanonLide110/300/400平板高清A4小型便携平板扫描仪 LIDE100,279.0,壹旺数码专营店,0
便携计算器办公用财务会计专用太阳能计算器大学学生用小号双 2套/便携款/双电源,36.9,壹旺数码专营店,0
创维【直播热销丨七夕礼物】超跑剃须刀电动刮胡刀男士合金小钢炮迷你便携全身防水快充胡子刀送男友 流光银 礼盒装 +晒单好礼,269.0,创维健康电器旗舰店,200
萌牙家星耀款电动牙刷成人声波震动充电式X2系列软毛牙刷情侣款节日礼物送礼 月光白（到手3刷头）,239.0,萌牙家官方旗舰店,2700
艾美特（AIRMATE）暖风机浴室取暖器家用壁挂式电暖气石墨烯取暖器恒温节能浴霸电暖器速热防水热风机免打孔 石墨烯速热【奶咖色】防水机身,169.0,艾美特官方旗舰店,300
venTa文塔空气净化加湿器LW15卧室高端母婴家用无雾冷蒸发德国进口低音智能落地空调房加湿器花粉清洗机 【0耗材+自来水+液晶+湿度预设】母婴LW15白,2249.0,Venta海外官方旗舰店,300
海尔（Haier） KJ5F 桌面空气净化器 母婴适用款空气净化器,189.0,海尔母婴电器旗舰店,70
沁园即热式饮水机冷热两用家用直饮机制冷制热一体式小型免安装多功能台式饮水机纯净水制冷速热饮水机 奶油小方Z5341 即热制冷型,1099.0,沁园净饮水旗舰店,30
美的（Midea） 电风扇家用7叶落地扇 摇头电风扇循环通风大风量电扇台式桌面小型风扇（台地两用升级款） 白色丨7叶台地两用,149.0,美的集团官方旗舰店,10000
美的（Midea） 电饭煲家用智能HI电饭锅2-3-4-5-6人 IH电磁加热大火力快煮 精钢厚釜内胆一键柴火饭3L IH饭煲白色(2-6人) 3L,478.0,美的集团官方旗舰店,2600
