商品名称,券后价,店铺名称,好评数
超能内衣洗衣液860g去血渍去异味抑菌手洗内衣裤专用瓶装清洗液 【3瓶装】,39.9,超能官方旗舰店,300
南凤鱼甄选猫牙米10kg（20斤）长粒大米 南方米 丝苗米形 煲仔饭专用米,116.1,南纳香京东自营旗舰店,600
伊纳宝猫罐头味润主食罐头营养猫咪湿粮日本CIAO妙好汤汁罐80g 混合口味 24罐（口味随机）,189.0,伊纳宝旗舰店,2000
卫扶特海盐水喷鼻洗鼻器生理盐水鼻腔喷雾器儿童成人鼻腔清洗器鼻炎鼻喷雾吸鼻器过敏性鼻炎 【热卖单品】儿童等渗80ml,9.9,卫扶特旗舰店,400
Jepoo84透明肥皂香皂洗衣皂硫磺皂去污洗衣羊奶皂香皂小苏打洗衣去污皂 75g5块硫磺皂,9.9,网邻生活卖场店,900
狮王（Lion）狮王泡沫洗手液 洗手液99%纯净保湿成分呵护肌肤 爽肤香洗手液200ml*4袋,34.8,狮王个护旗舰店,80
千丝椰子饼300g厦门小吃美味休闲零食小吃传统糕点馅饼【新】 千丝厦门椰子饼 原味 300g,7.9,中国特产·泉州馆,3500
粮源阁 芝士鸡肉卷 拉丝芝士卷 爆浆芝士鸡肉卷 儿童早餐 130g*3根,25.9,粮源阁京东自营旗舰店,1600
奥芬洁宠物通用耳螨滴耳液耳臭耳痒耳垢耳腊耳炎感染耳朵清洁液 一瓶/60ml,5.5,品乐宠物用品专营店,10
鹏翔宇【顺丰包邮】正宗珍珠枣油桃脆甜枣桃离核油桃子整箱新鲜应季水果 净重8斤【家庭装】,67.9,鹏翔宇生鲜官方旗舰店,400
舒可乐 卫生纸巾卷纸无芯小提装卷筒纸手纸厕纸 5层 30g/卷 24卷,18.6,恒量拼购店,200
舒客含氟美白/舒敏/防蛀/维c牙膏8支装 全正装 家庭囤货共1000g 多功效8支装,44.9,舒客官方旗舰店,100
京东京造 一键弹盖轻量旋薄保温杯 男女通用316不锈钢长效保温杯480ml黑色,39.9,京东京造自营官方旗舰店,16000
永丰牌永丰北京二锅头小瓶白酒清香型白酒整箱二两小瓶白酒56度纯粮酿造 56度 100mL 2瓶 永丰脸谱小瓶,9.9,中辉天下酒类官方旗舰店,400
凤球唛胡椒粉 烧烤香辛料调料黑胡椒粉 烧烤烹饪调味料 白胡椒粉40g*2瓶,7.9,凤球唛官方旗舰店,1600
达聚科柔性插座转换器无线插排小夜灯多孔家用USB充电多功能一转多电源接线板USB充电安全门适用于卧室 柔性品字形一转六【插位款】/,17.8,达聚科插座旗舰店,2600
玻璃杯女便携水杯高颜值带盖迷你透明豆浆带刻度牛奶小杯子胖胖杯 粉色-1个 200ml,9.8,迈吕拼购店,4
嫚熙（EMXEE）防溢乳垫孕妇产后一次性防溢乳垫超薄瞬吸无感舒适体验透气 130片装,28.9,EMXEE嫚熙母婴旗舰店,17000
