商品名称,券后价,店铺名称,好评数
比比赞（BIBIZAN）牛角酥混合味1000g独立装虎牙脆妙脆角膨化饼干休闲零食品小吃,17.9,比比赞（BIBIZAN）京东自营旗舰店,100000
西贝莜面村莜面鱼鱼600g 招牌特色美食 速食方便菜 可炒煮汤 面点生鲜 ,29.9,西贝莜面村京东自营旗舰店,76000
徐福记 小叭叭 米格玛糙米卷 米果卷膨化 能量棒 粗粮425g/袋,15.9,徐福记京东自营旗舰店,110000
得力(deli)300张手工折纸 10色学生彩纸剪纸美术绘画手工DIY大中小A4各100张 生日儿童文具毕业礼物YC307,15.1,得力（deli）文具京东自营旗舰店,81000
施华蔻（Schwarzkopf）got2b迷浪盈卷弹力素乳液100ml(卷发碎发定型 持久护卷 清爽),35.0,施华蔻京东自营官方旗舰店,200000
【全网低价】晨光(M&G)文具5号DL牛皮纸信封 220*110mm发票袋 信封袋工资袋 50个装AGW98237,9.9,晨光京东自营官方旗舰店,42000
佳农 菲律宾进口菠萝 2个装 单果重900g起 新鲜水果,29.9,佳农京东自营旗舰店,340000
比比赞（BIBIZAN）手撕豆皮400g辣片辣条豆干辣味小包装老式怀旧休闲解馋小零食小吃,11.9,比比赞（BIBIZAN）京东自营旗舰店,28000
亚美嘉 擦镜纸 眼镜布 镜头纸 一次性擦眼镜纸 镜头布 手机电脑屏幕清洁湿巾中号（15.5*9cm) 120片装,33.0,亚美嘉京东自营旗舰店,66000
博士伦隐形眼镜护理液 清透355ml*2+120ml,72.0,博士伦京东自营旗舰店,420000
比比赞（BIBIZAN） 辣卤零食大礼包60包深夜解馋送礼送女友荤素卤味休闲食品680g,18.9,比比赞（BIBIZAN）京东自营旗舰店,43000
Tenda腾达 WiFi6智能免驱 usb无线网卡 外置高增益天线 台式机笔记本电脑wifi接收器 随身wifi发射,25.5,腾达智能网络京东自营官方旗舰店,570000
小鹿蓝蓝_深海鳕鱼肠 宝宝鱼肠零食儿童鱼肠零食添加益生元鳕鱼肉肠 300g,26.95,小鹿蓝蓝京东自营旗舰店,100000
湾仔码头玉米蔬菜猪肉水饺1320g66只早餐食品速食半成品面点生鲜速冻饺子,37.9,湾仔码头京东自营旗舰店,1030000
Sodolike尚岛150只中号加厚手提式一次性用品垃 圾袋50*65cm背心黑色袋子,9.43,尚岛宜家厨具京东自营旗舰店,49000
汰渍洗衣皂116g*10块装全效洁净手洗温和不伤手肥皂透明皂内衣可用,19.9,宝洁京东自营官方旗舰店,770000
柴火大院 五常大米 5kg (东北大米 五常稻香米 五公斤),76.0,柴火大院京东自营旗舰店,790000
茨格曼 免打孔花洒支架可调节喷头挂座浴室淋浴器神器淋雨莲蓬底座,14.96,茨格曼家居日用京东自营旗舰店,7000
妙洁海绵百洁布 四色分用去油污抹布厨房洗碗棉12片,21.9,妙洁京东自营旗舰店,800000
妙洁竹净去油抹布 吸水去污巾 厨房洗碗布家用神器8片装,37.9,妙洁京东自营旗舰店,950000
艾惟诺（Aveeno）儿童沐浴露洗发水二合一婴儿洗发水宝宝沐浴乳燕麦354ml,49.0,Aveeno艾惟诺京东自营旗舰店,320000
屈臣氏（Watsons）苏打汽水 经典原味黑罐 0糖0脂0卡 气泡饮料 330ml*24罐 整箱装,81.7,屈臣氏(Watson’s)京东自营官方旗舰店,2120000
立白 茶籽洗洁精1.45kg*2瓶去污洁净99%除菌轻松去油不伤手,23.9,立白京东自营旗舰店,1730000
