商品名称,券后价,店铺名称,好评数
无印良品 四件套 夏季植物羊绒亲肤磨毛套件 单人双人加大柔软床品套件 魔法熊 1.2m床单三件套【被套150x200】,69.9,無印良品旗舰店,0
lopet乐派按动中性笔ST笔头高颜值速干刷题笔学生专用水性黑色水笔按动式初中生小学生圆珠笔按压式LT-1327,17.9,LOPET京东自营旗舰店,80
名流润滑液水溶性人体润滑油男女士夫妻房事专用免洗可舔精油私处快感增强液后庭肛门润滑剂成人情趣性用品 0刺激润滑液【2瓶组合装】,20.0,名流计生用品旗舰店,200
善存海外（Centrum）男士复合维生素软糖 含维生素C维生素A锌多维矿物质软糖100粒	,249.0,善存海外京东自营旗舰店,1600
红地球（red earth）精华粉膏遮瑕无痕持妆控油不脱妆混油皮-暖肌色20g,128.0,红地球（red earth）京东自营旗舰店,500
碧琢香港大药房活络油活络油颈椎腰椎外用舒筋活络透骨油 2瓶,29.8,碧琢个人护理旗舰店,0
五粮液 股份出品【官方授权】 52度浓香型 优级白酒 金谷春 龙年送礼 52度 500mL 2瓶 礼盒装,279.0,续酒缘旗舰店,70
舌里0脂肪全麦代餐吐司面包低脂控卡饱腹健身代餐 西梅全麦厚切吐司500g,14.9,舌里健康食品旗舰店,1200
CAPERE (铠雷)鼠标垫护腕可爱柯基狗女生硅胶加厚小号带手托3d立体卡通电脑办公娱乐滑鼠垫 浅蓝爱心柯基M436,18.5,CAPERE旗舰店,1300
喔喔（WOWO）猫粮成猫 低温烘焙猫干粮全价无谷 真鲜肉 【首购】2kg（1kg*2）,118.9,WOWO官方旗舰店,3500
西麦五福燕麦礼盒1510g 营养健康膳食纤维中秋礼品团购福利送人礼物 【营养搭配】1510g礼盒装,40.9,西麦食品旗舰店,500
内廷上用 北京同仁堂Bb族维生素片叶酸烟酰胺复合多种维生素B vb b1 b2 b6 b12 B族维生素片（0.7g*100片）3盒装,19.8,广同康旗舰店,900
Move Free益节金装氨糖软骨素120粒 维骨力钙片 强骨力盐酸氨基葡萄糖 美国进口骨维力成人中老年人护关节,404.0,MoveFree益节维骨力海外京东自营旗舰店,17000
盼盼巧克力派 早餐面包夹心蛋糕下午茶点心零食 1200g/箱,24.9,盼盼京东自营旗舰店,600
有鱼猫罐头UP系列主食罐小扁罐湿粮包主食罐100g 鸡牛兔鱼混合 12罐,80.0,有鱼宠物主粮旗舰店,800
cuitisan酷艺师抗菌不锈钢饭盒保鲜盒大容量食品级收纳密封盒防漏学生饭盒 符号方形饭盒5号 680ml,157.0,apous旗舰店,70
柔丫（rouya）试用装干爽纸尿裤宝宝成长裤婴儿尿不湿超薄防漏瞬吸透气学步裤 芯太软纸尿裤试用装NB码14片,6.9,柔丫母婴用品旗舰店,1600
小土豆贝舒小土豆婴儿纯棉口水巾宝宝专用柔软透气口水围兜儿童围嘴新生儿 三条装,9.9,小土豆官方旗舰店,300
TEEIS 德国护膝运动保暖夏季超薄款关节炎夏天用女款男空调房跑步膝盖 四维防滑超薄护膝丨亲肤色 均码丨80-180斤通用 丨两只装,29.0,TEEIS运动户外旗舰店,1000
味品堂椰果黄桃罐头200g*8罐 水果罐头大块果肉 开罐即食速食零食整箱 200g*4罐（新客首选）,9.9,味品堂食品旗舰店,50
金鹤 御品鹤乡1号 东北大米 长粒香米 粳米 当季新米 10公斤 10kg,116.1,金鹤京东自营旗舰店,2300
京东京造 淫羊藿韭菜子精氨酸片30片*3盒 男性耐力性用品房事保健雄风爆发缓解体力疲劳增强免疫力,79.0,京东京造自营官方旗舰店,2100
邦迪防水创可贴10片强生创口贴弹性透气无菌敷贴止血贴邦廸防磨脚贴 游泳防水家庭出游常备用于擦伤 凑单,8.91,科赴医药京东自营官方旗舰店,900
吉香居野山椒海带丝48g 下饭菜即食袋装零食便携 48g*10袋,9.9,吉香居食品旗舰店,1300
SAFEBET2个装 陶瓷水果刨 水果削皮刀厨房多功能刨皮刀削苹果刀土豆刮皮 1个装-随机颜色,3.4,缕昕家居专营店,3100
